case,category,source,excerpt_start,excerpt_end,reviewer,reference_arabic,asr_errors,meaning_changing_translation_errors,corrections_resolved,export_pass,notes
01,clear speech,,,,,,,,,,
02,clear speech,,,,,,,,,,
03,clear speech,,,,,,,,,,
04,background noise,,,,,,,,,,
05,background noise,,,,,,,,,,
06,low recording quality,,,,,,,,,,
07,religious terminology,,,,,,,,,,
08,religious terminology,,,,,,,,,,
09,religious terminology,,,,,,,,,,
10,quotation,,,,,,,,,,
11,quotation,,,,,,,,,,
12,quotation with incomplete ending,,,,,,,,,,
13,names,,,,,,,,,,
14,names,,,,,,,,,,
15,numbers,,,,,,,,,,
16,numbers,,,,,,,,,,
17,negation,,,,,,,,,,
18,negation,,,,,,,,,,
19,qualifications and exceptions,,,,,,,,,,
20,mixed difficult passage,,,,,,,,,,
